acm press and ieee computer society press	computer science curricula 2013
advanced database systems	advanced database systems
ansi x3h2	modification of user defined types
ansi x3h2	unification of value and object adts
constraint programming	constraint programming: basics and trends, châtillon spring school, châtillon-sur-seine, france, may 16 - 20, 1994, selected papers
encyclopedia of cryptography and security	pkix - public key infrastructure (x.509).
encyclopedia of cryptography and security	dc network.
encyclopedia of cryptography and security (2nd ed.)	identity proof.
encyclopedia of cryptography and security (2nd ed.)	secure computer system model.
encyclopedia of cryptography and security (2nd ed.)	biometric authentication.
encyclopedia of cryptography and security (2nd ed.)	derived key.
encyclopedia of cryptography and security (2nd ed.)	keyboard dynamics.
gte laboratories incorporated	object data language facilities for multimedia data types.
gte laboratories incorporated	distributed object management technology.
gte laboratories incorporated	an evaluation of object-oriented dbms developments: 1994 edition.
gte laboratories incorporated	object model capabilities for distributed object management.
gte laboratories incorporated	integrating object-oriented applications and middleware with relational databases.
gte laboratories incorporated	metaobject protocol concepts for a risc object model.
ibm publication	sql/data system for vse: a relational data system for application development.
ios press	an inductive logic programming approach to statistical relational learning
iwbs report	prozedurale semantik. repräsentation der sprechergegenwart.
iwbs report	die repräsentation räumlichen wissens und die behandlung von einbettungsproblemen mit quadtreedepiktionen
iwbs report	a logical operational semantics of full prolog
iwbs report	how could a good system of practical nlp look like?
iwbs report	möglichkeiten des einsatzes eines dreiwertigen theorembeweisers
iwbs report	attribute inheritance implemented on top of a relational database system
iwbs report	lmt - machine translation demonstration
iwbs report	an overview on planning applications in protos-l
iwbs report	ein praktischer algorithmus für die e-unifikation
iwbs report	the institute for knowledge based systems in the ibm germany scientific center
iwbs report	konzeption und implementierung von gleichheit für einen tableau-basierten theorem-beweiser
iwbs report	syntaktische informationseinheiten zu deutschen adjektiven
iwbs report	ding - ein domänen-orientierter inkrementeller und integrierter generator für kohärente texte
iwbs report	"dictionary dialog" - entwurf des funktionsumfangs für eine benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten übersetzungssystems und prototypische erstellung der bildschirmfolge für die funktion "semantische relation"
iwbs report	processing spatial knowledge in lilog
iwbs report	der lambek-kalkül. eine logik für lexikalische grammatiken
iwbs report	parenthetische konstruktionen des deutschen.
iwbs report	symmetric coordination: an alternative theory of phrase structure
iwbs report	on the problem of masking special errors by serial signature analysis
iwbs report	an inference engine for function free logic programs
iwbs report	aspekte der generierung von wegbeschreibungen
iwbs report	subsumtion für eine erweiterte attributive sortenbeschreibungssprache
iwbs report	mathematische grundlagen der formalen linguistik - ein kompendium
lilog-memo	zur behandlung komplexer objekte in lilog
lilog-memo	dokumentation der syntax der lilog-grammatik
lilog-memo	zur systemarchitektur von lilog
lilog-report	eine dreiwertige logik zur verarbeitung partieller information
lilog-report	simulation sprachlichen verstehens: generelle probleme bei der semantischen interpretation der natürlichen sprache
lilog-report	über ansätze zur darstellung von konzepten und prototypen
lilog-report	ein fact manager zur persistenten speicherung variabel strukturierter komplexer objekte
lilog-report	cognitive linguistics: the processing of spatial concepts
lilog-report	computational aspects of three-valued logic
lilog-report	algebraical optimization of fta-expressions
springer	markov random field modeling in image analysis.
springer	similarity-based pattern analysis and recognition
springer	semantic methods for execution-level business process modeling - modeling support through process verification and service composition
springer	tensors in image processing and computer vision
text understanding in lilog	text understanding in lilog, integrating computational linguistics and artificial intelligence, final report on the ibm germany lilog-project
text understanding in lilog	managing lexical knowledge in leu/2.
university of california at berkeley	muffin: a distributed database machine
